ID OMM station;Date;Température (°C)
7027;2020-01-04T19:00:00+01:00;6.800000
7027;2020-01-05T19:00:00+01:00;6.500000
7027;2020-01-06T19:00:00+01:00;7.800000
7027;2020-01-07T19:00:00+01:00;12.600000
7027;2020-01-08T19:00:00+01:00;11.800000
7027;2020-01-09T19:00:00+01:00;10.500000
7027;2020-01-10T19:00:00+01:00;4.800000
7027;2020-01-11T19:00:00+01:00;7.900000
7027;2020-01-12T19:00:00+01:00;8.200000
7027;2020-01-13T19:00:00+01:00;11.900000
7027;2020-01-14T19:00:00+01:00;12.500000
7027;2020-01-15T19:00:00+01:00;6.100000
7027;2020-01-01T22:00:00+01:00;6.600000
7027;2020-01-02T22:00:00+01:00;10.300000
7027;2020-01-03T22:00:00+01:00;5.100000
7027;2020-01-04T22:00:00+01:00;6.900000
7027;2020-01-05T22:00:00+01:00;6.200000
7027;2020-01-06T22:00:00+01:00;8.400000
7027;2020-01-07T22:00:00+01:00;12.700000
7027;2020-01-08T22:00:00+01:00;12.600000
7027;2020-01-09T22:00:00+01:00;8.600000
7027;2020-01-10T22:00:00+01:00;4.400000
7027;2020-01-11T22:00:00+01:00;7.900000
7027;2020-01-12T22:00:00+01:00;5.700000
7027;2020-01-13T22:00:00+01:00;11.300000
7027;2020-01-14T22:00:00+01:00;12.600000
7027;2020-01-15T22:00:00+01:00;4.300000
7037;2020-01-01T01:00:00+01:00;-0.900000
7037;2020-01-02T01:00:00+01:00;4.600000
7037;2020-01-03T01:00:00+01:00;8.600000
7037;2020-01-04T01:00:00+01:00;2.100000
7037;2020-01-05T01:00:00+01:00;5.600000
7037;2020-01-06T01:00:00+01:00;5.700000
7037;2020-01-07T01:00:00+01:00;7.800000
7037;2020-01-08T01:00:00+01:00;11.600000
7037;2020-01-09T01:00:00+01:00;11.800000
7037;2020-01-10T01:00:00+01:00;8.500000
7037;2020-01-11T01:00:00+01:00;5.000000
7037;2020-01-12T01:00:00+01:00;5.300000
7037;2020-01-13T01:00:00+01:00;2.800000
7037;2020-01-14T01:00:00+01:00;10.100000
7037;2020-01-15T01:00:00+01:00;9.800000
7037;2020-01-01T04:00:00+01:00;-1.200000
7037;2020-01-02T04:00:00+01:00;4.000000
7037;2020-01-03T04:00:00+01:00;8.900000
7037;2020-01-04T04:00:00+01:00;1.100000
7037;2020-01-05T04:00:00+01:00;5.600000
7037;2020-01-06T04:00:00+01:00;1.000000
7037;2020-01-07T04:00:00+01:00;6.800000
7037;2020-01-08T04:00:00+01:00;11.600000
7037;2020-01-09T04:00:00+01:00;11.900000
7037;2020-01-10T04:00:00+01:00;8.200000
7037;2020-01-11T04:00:00+01:00;3.900000
7037;2020-01-12T04:00:00+01:00;4.900000
7037;2020-01-13T04:00:00+01:00;5.400000
7037;2020-01-14T04:00:00+01:00;10.300000
7037;2020-01-15T04:00:00+01:00;9.500000
7037;2020-01-01T07:00:00+01:00;-0.400000
7037;2020-01-02T07:00:00+01:00;4.400000
7037;2020-01-03T07:00:00+01:00;8.700000
7037;2020-01-04T07:00:00+01:00;0.700000
7037;2020-01-05T07:00:00+01:00;5.500000
7037;2020-01-06T07:00:00+01:00;0.200000
7037;2020-01-07T07:00:00+01:00;6.900000
7037;2020-01-08T07:00:00+01:00;11.100000
7037;2020-01-09T07:00:00+01:00;11.900000
7037;2020-01-10T07:00:00+01:00;7.000000
7037;2020-01-11T07:00:00+01:00;3.800000
