ID OMM station;Coordonnees;Humidité
7650;43.437668,5.216000;98
7168;48.324669,4.020000;98
7222;47.150002,-1.608833;98
7558;44.118500,3.019500;98
7130;48.068832,-1.734000;98
7222;47.150002,-1.608833;98
7314;46.046833,-1.411500;98
7255;47.059166,2.359833;98
7535;44.744999,1.396667;98
7280;47.267834,5.088333;98
7510;44.830666,-0.691333;98
7314;46.046833,-1.411500;98
7510;44.830666,-0.691333;98
7130;48.068832,-1.734000;98
7335;46.593834,0.314333;98
7117;48.825832,-3.473167;98
7510;44.830666,-0.691333;98
7181;48.581001,5.959833;98
7222;47.150002,-1.608833;98
7535;44.744999,1.396667;98
7643;43.577000,3.963167;98
7072;49.209667,4.155333;98
7005;50.136002,1.834000;98
7190;48.549500,7.640333;98
7027;49.180000,-0.456167;98
7240;47.444500,0.727333;98
7139;48.445499,0.110167;98
7190;48.549500,7.640333;98
7110;48.444168,-4.412000;98
7471;45.074501,3.764000;98
7139;48.445499,0.110167;98
7027;49.180000,-0.456167;98
7255;47.059166,2.359833;98
7020;49.725166,-1.939833;98
7037;49.382999,1.181667;97
7139;48.445499,0.110167;97
7168;48.324669,4.020000;97
7643;43.577000,3.963167;97
7072;49.209667,4.155333;97
7460;45.786835,3.149333;97
7535;44.744999,1.396667;97
7621;43.188000,0.000000;97
7481;45.726501,5.077833;97
7607;43.909832,-0.500167;97
7117;48.825832,-3.473167;97
7072;49.209667,4.155333;97
7181;48.581001,5.959833;97
7621;43.188000,0.000000;97
7280;47.267834,5.088333;97
7535;44.744999,1.396667;97
7510;44.830666,-0.691333;97
7072;49.209667,4.155333;97
7280;47.267834,5.088333;97
7510;44.830666,-0.691333;97
7607;43.909832,-0.500167;97
7607;43.909832,-0.500167;97
7072;49.209667,4.155333;97
7299;47.614334,7.510000;97
7181;48.581001,5.959833;97
7314;46.046833,-1.411500;97
7117;48.825832,-3.473167;97
7481;45.726501,5.077833;97
7222;47.150002,-1.608833;97
7471;45.074501,3.764000;97
7434;45.861168,1.175000;97
7181;48.581001,5.959833;97
7110;48.444168,-4.412000;97
7037;49.382999,1.181667;97
7181;48.581001,5.959833;97
7335;46.593834,0.314333;97
7130;48.068832,-1.734000;97
7460;45.786835,3.149333;97
7630;43.620998,1.378833;97
7607;43.909832,-0.500167;97
7139;48.445499,0.110167;97
7607;43.909832,-0.500167;97
7181;48.581001,5.959833;97
7130;48.068832,-1.734000;97
7222;47.150002,-1.608833;97
7314;46.046833,-1.411500;97
7139;48.445499,0.110167;97
7117;48.825832,-3.473167;97
7168;48.324669,4.020000;97
7460;45.786835,3.149333;97
7181;48.581001,5.959833;97
7535;44.744999,1.396667;97
7027;49.180000,-0.456167;97
7280;47.267834,5.088333;97
7117;48.825832,-3.473167;97
7015;50.570000,3.097500;97
7535;44.744999,1.396667;97
7607;43.909832,-0.500167;97
7607;43.909832,-0.500167;97
7607;43.909832,-0.500167;97
7149;48.716831,2.384333;97
7335;46.593834,0.314333;97
7650;43.437668,5.216000;97
7335;46.593834,0.314333;97
7314;46.046833,-1.411500;97
7299;47.614334,7.510000;97
7558;44.118500,3.019500;97
7299;47.614334,7.510000;97
7181;48.581001,5.959833;97
7650;43.437668,5.216000;97
7661;43.079334,5.940833;97
7222;47.150002,-1.608833;97
7027;49.180000,-0.456167;97
7643;43.577000,3.963167;97
7240;47.444500,0.727333;97
7240;47.444500,0.727333;97
7471;45.074501,3.764000;97
7460;45.786835,3.149333;97
7255;47.059166,2.359833;97
7607;43.909832,-0.500167;97
7510;44.830666,-0.691333;97
7181;48.581001,5.959833;97
7630;43.620998,1.378833;97
7181;48.581001,5.959833;97
7190;48.549500,7.640333;97
7607;43.909832,-0.500167;97
7222;47.150002,-1.608833;97
7255;47.059166,2.359833;97
7299;47.614334,7.510000;97
7139;48.445499,0.110167;97
7510;44.830666,-0.691333;97
7299;47.614334,7.510000;97
7535;44.744999,1.396667;97
7168;48.324669,4.020000;97
7020;49.725166,-1.939833;97
7222;47.150002,-1.608833;97
7117;48.825832,-3.473167;97
7190;48.549500,7.640333;97
7139;48.445499,0.110167;97
7510;44.830666,-0.691333;97
7471;45.074501,3.764000;97
7607;43.909832,-0.500167;97
7255;47.059166,2.359833;97
7607;43.909832,-0.500167;97
7510;44.830666,-0.691333;97
7299;47.614334,7.510000;97
7117;48.825832,-3.473167;97
7299;47.614334,7.510000;97
7299;47.614334,7.510000;97
7299;47.614334,7.510000;97
7630;43.620998,1.378833;97
7314;46.046833,-1.411500;97
7027;49.180000,-0.456167;97
7510;44.830666,-0.691333;97
7139;48.445499,0.110167;97
7535;44.744999,1.396667;97
7460;45.786835,3.149333;97
7015;50.570000,3.097500;97
7299;47.614334,7.510000;97
7005;50.136002,1.834000;97
7630;43.620998,1.378833;97
7139;48.445499,0.110167;97
7072;49.209667,4.155333;97
7535;44.744999,1.396667;97
7643;43.577000,3.963167;97
7005;50.136002,1.834000;97
7627;43.005333,1.106833;97
7299;47.614334,7.510000;97
7181;48.581001,5.959833;97
7510;44.830666,-0.691333;97
7139;48.445499,0.110167;97
7130;48.068832,-1.734000;97
7240;47.444500,0.727333;97
7299;47.614334,7.510000;97
7207;47.294334,-3.218333;97
7181;48.581001,5.959833;97
7299;47.614334,7.510000;97
7471;45.074501,3.764000;97
7240;47.444500,0.727333;97
7005;50.136002,1.834000;97
7020;49.725166,-1.939833;97
7005;50.136002,1.834000;97
7139;48.445499,0.110167;97
7335;46.593834,0.314333;97
7607;43.909832,-0.500167;97
7181;48.581001,5.959833;97
7314;46.046833,-1.411500;97
7072;49.209667,4.155333;97
7630;43.620998,1.378833;97
7280;47.267834,5.088333;97
7240;47.444500,0.727333;97
7130;48.068832,-1.734000;97
7535;44.744999,1.396667;97
7255;47.059166,2.359833;97
7139;48.445499,0.110167;97
7471;45.074501,3.764000;97
7510;44.830666,-0.691333;97
7535;44.744999,1.396667;97
7558;44.118500,3.019500;97
7255;47.059166,2.359833;97
7510;44.830666,-0.691333;97
7335;46.593834,0.314333;97
7181;48.581001,5.959833;97
7130;48.068832,-1.734000;97
7607;43.909832,-0.500167;97
7280;47.267834,5.088333;97
7168;48.324669,4.020000;97
7335;46.593834,0.314333;97
7015;50.570000,3.097500;97
7139;48.445499,0.110167;97
7149;48.716831,2.384333;97
