ID OMM station;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
7015;170;3.500000;50.570000,3.097500
7015;230;3.700000;50.570000,3.097500
7015;230;2.400000;50.570000,3.097500
7015;170;6.000000;50.570000,3.097500
7015;170;6.800000;50.570000,3.097500
7015;200;3.000000;50.570000,3.097500
7015;180;1.800000;50.570000,3.097500
7015;180;5.500000;50.570000,3.097500
7015;230;3.000000;50.570000,3.097500
7015;200;3.300000;50.570000,3.097500
7015;190;9.000000;50.570000,3.097500
7015;190;7.800000;50.570000,3.097500
7015;300;6.200000;50.570000,3.097500
7015;170;2.800000;50.570000,3.097500
7015;190;11.100000;50.570000,3.097500
7015;190;7.600000;50.570000,3.097500
7015;230;2.700000;50.570000,3.097500
7015;180;2.800000;50.570000,3.097500
7015;250;2.800000;50.570000,3.097500
7015;180;5.900000;50.570000,3.097500
7015;190;2.400000;50.570000,3.097500
7015;80;4.700000;50.570000,3.097500
7015;300;6.700000;50.570000,3.097500
7015;300;7.300000;50.570000,3.097500
7015;180;11.500000;50.570000,3.097500
7015;180;6.000000;50.570000,3.097500
7015;180;8.600000;50.570000,3.097500
7020;200;9.000000;49.725166,-1.939833
7020;290;5.900000;49.725166,-1.939833
7020;220;7.900000;49.725166,-1.939833
7020;220;7.800000;49.725166,-1.939833
7020;250;9.800000;49.725166,-1.939833
7020;300;8.300000;49.725166,-1.939833
7020;210;6.000000;49.725166,-1.939833
7020;210;11.600000;49.725166,-1.939833
7020;260;8.900000;49.725166,-1.939833
7020;210;8.500000;49.725166,-1.939833
7020;340;7.100000;49.725166,-1.939833
7020;210;8.900000;49.725166,-1.939833
7020;190;12.200000;49.725166,-1.939833
7020;340;8.100000;49.725166,-1.939833
7020;130;1.900000;49.725166,-1.939833
7020;190;14.700000;49.725166,-1.939833
7020;230;7.700000;49.725166,-1.939833
7020;200;12.200000;49.725166,-1.939833
7020;210;7.100000;49.725166,-1.939833
7020;230;4.900000;49.725166,-1.939833
7020;200;8.800000;49.725166,-1.939833
7020;230;6.200000;49.725166,-1.939833
7020;230;10.300000;49.725166,-1.939833
7020;220;8.000000;49.725166,-1.939833
7020;340;7.500000;49.725166,-1.939833
7020;0;0.000000;49.725166,-1.939833
7020;340;8.600000;49.725166,-1.939833
7020;230;8.600000;49.725166,-1.939833
7020;210;6.800000;49.725166,-1.939833
7020;190;15.800000;49.725166,-1.939833
7020;200;9.000000;49.725166,-1.939833
7020;210;9.000000;49.725166,-1.939833
7020;300;3.800000;49.725166,-1.939833
7020;210;8.300000;49.725166,-1.939833
7020;210;11.200000;49.725166,-1.939833
7020;180;11.100000;49.725166,-1.939833
7020;190;8.300000;49.725166,-1.939833
7020;210;12.400000;49.725166,-1.939833
7020;240;10.900000;49.725166,-1.939833
7020;230;9.500000;49.725166,-1.939833
7020;280;4.100000;49.725166,-1.939833
7020;190;8.000000;49.725166,-1.939833
7020;270;5.400000;49.725166,-1.939833
7020;210;10.700000;49.725166,-1.939833
7020;230;3.800000;49.725166,-1.939833
7020;150;3.100000;49.725166,-1.939833
7020;320;1.400000;49.725166,-1.939833
7020;230;7.800000;49.725166,-1.939833
7020;200;8.200000;49.725166,-1.939833
7020;210;7.800000;49.725166,-1.939833
7020;210;8.800000;49.725166,-1.939833
7020;140;2.300000;49.725166,-1.939833
7020;170;5.300000;49.725166,-1.939833
7020;180;3.700000;49.725166,-1.939833
7020;220;8.300000;49.725166,-1.939833
7020;220;6.500000;49.725166,-1.939833
7020;180;12.800000;49.725166,-1.939833
7020;290;5.200000;49.725166,-1.939833
7020;310;5.700000;49.725166,-1.939833
7020;250;9.800000;49.725166,-1.939833
7020;300;6.900000;49.725166,-1.939833
7020;210;6.500000;49.725166,-1.939833
7020;330;11.700000;49.725166,-1.939833
7020;200;11.200000;49.725166,-1.939833
7020;180;10.500000;49.725166,-1.939833
7020;150;1.100000;49.725166,-1.939833
7020;200;9.600000;49.725166,-1.939833
7020;200;4.800000;49.725166,-1.939833
7020;200;8.600000;49.725166,-1.939833
7020;220;9.900000;49.725166,-1.939833
7020;190;11.400000;49.725166,-1.939833
7020;200;8.100000;49.725166,-1.939833
7020;220;9.500000;49.725166,-1.939833
7020;190;15.200000;49.725166,-1.939833
7020;190;16.500000;49.725166,-1.939833
7020;290;6.700000;49.725166,-1.939833
7020;260;6.400000;49.725166,-1.939833
7020;190;8.800000;49.725166,-1.939833
7020;180;4.900000;49.725166,-1.939833
7020;250;5.500000;49.725166,-1.939833
7020;0;0.000000;49.725166,-1.939833
7020;210;11.400000;49.725166,-1.939833
7020;210;9.400000;49.725166,-1.939833
7020;250;1.300000;49.725166,-1.939833
7020;210;9.700000;49.725166,-1.939833
7020;200;3.000000;49.725166,-1.939833
7020;200;14.100000;49.725166,-1.939833
7020;260;3.400000;49.725166,-1.939833
7020;260;9.200000;49.725166,-1.939833
