Date;Pression station
2020-01-04T07:00:00+01:00;102330
2020-01-04T07:00:00+01:00;102440
2020-01-04T07:00:00+01:00;103420
2020-01-04T07:00:00+01:00;103310
2020-01-04T07:00:00+01:00;93360
2020-01-04T07:00:00+01:00;103520
2020-01-04T07:00:00+01:00;102990
2020-01-04T07:00:00+01:00;99400
2020-01-04T07:00:00+01:00;100310
2020-01-04T07:00:00+01:00;102120
2020-01-04T07:00:00+01:00;100590
2020-01-04T07:00:00+01:00;102040
2020-01-04T07:00:00+01:00;101380
2020-01-04T07:00:00+01:00;99750
2020-01-04T07:00:00+01:00;102170
2020-01-04T07:00:00+01:00;103410
2020-01-04T07:00:00+01:00;101640
2020-01-04T07:00:00+01:00;102870
2020-01-04T07:00:00+01:00;99120
2020-01-04T07:00:00+01:00;101690
2020-01-04T07:00:00+01:00;92410
2020-01-04T10:00:00+01:00;103600
2020-01-04T10:00:00+01:00;98700
2020-01-04T10:00:00+01:00;101530
2020-01-04T10:00:00+01:00;102730
2020-01-04T10:00:00+01:00;103450
2020-01-04T10:00:00+01:00;103150
2020-01-04T10:00:00+01:00;102940
2020-01-04T10:00:00+01:00;101670
2020-01-04T10:00:00+01:00;102740
2020-01-04T10:00:00+01:00;102420
2020-01-04T10:00:00+01:00;100960
2020-01-04T10:00:00+01:00;98760
2020-01-04T10:00:00+01:00;102020
2020-01-04T10:00:00+01:00;93530
2020-01-04T10:00:00+01:00;100480
2020-01-04T10:00:00+01:00;102780
2020-01-04T10:00:00+01:00;102340
2020-01-04T10:00:00+01:00;103620
2020-01-04T10:00:00+01:00;100760
2020-01-04T10:00:00+01:00;99310
2020-01-04T10:00:00+01:00;102410
2020-01-04T10:00:00+01:00;102280
2020-01-04T10:00:00+01:00;102540
2020-01-04T10:00:00+01:00;102340
2020-01-04T10:00:00+01:00;103190
2020-01-04T10:00:00+01:00;102350
2020-01-04T10:00:00+01:00;99620
2020-01-04T10:00:00+01:00;102210
2020-01-04T10:00:00+01:00;103030
2020-01-04T10:00:00+01:00;102180
2020-01-04T10:00:00+01:00;99280
2020-01-04T10:00:00+01:00;101830
2020-01-04T10:00:00+01:00;101750
2020-01-04T10:00:00+01:00;102370
2020-01-04T10:00:00+01:00;102570
2020-01-04T10:00:00+01:00;103570
2020-01-04T10:00:00+01:00;94840
2020-01-04T10:00:00+01:00;103000
2020-01-04T10:00:00+01:00;100440
2020-01-04T10:00:00+01:00;92600
2020-01-04T10:00:00+01:00;103450
2020-01-04T10:00:00+01:00;100010
2020-01-04T13:00:00+01:00;103630
2020-01-04T13:00:00+01:00;103040
2020-01-04T13:00:00+01:00;103140
2020-01-04T13:00:00+01:00;99600
2020-01-04T13:00:00+01:00;102540
2020-01-04T13:00:00+01:00;100440
2020-01-04T13:00:00+01:00;101790
2020-01-04T13:00:00+01:00;102730
2020-01-04T13:00:00+01:00;100740
2020-01-04T13:00:00+01:00;99300
2020-01-04T13:00:00+01:00;102350
2020-01-04T13:00:00+01:00;102170
2020-01-04T13:00:00+01:00;99290
2020-01-04T13:00:00+01:00;98630
2020-01-04T13:00:00+01:00;102900
2020-01-04T13:00:00+01:00;103430
2020-01-04T13:00:00+01:00;103210
2020-01-04T13:00:00+01:00;102560
2020-01-04T13:00:00+01:00;102910
2020-01-04T13:00:00+01:00;103560
2020-01-04T13:00:00+01:00;102160
2020-01-04T13:00:00+01:00;100100
