ID OMM station;Température (°C)
7037;9.000000
7037;8.800000
7037;5.300000
7037;5.600000
7037;7.800000
7037;3.900000
7037;8.700000
7037;8.700000
7037;7.400000
7037;10.300000
7037;12.000000
7037;6.400000
7037;10.100000
7037;11.000000
7037;2.900000
7037;5.400000
7037;7.700000
7037;6.000000
7037;2.900000
7037;5.000000
7037;8.500000
7037;12.500000
7037;5.800000
7037;6.400000
7037;4.900000
7037;2.800000
7037;4.400000
7037;10.300000
7037;1.800000
7037;5.000000
7037;5.000000
7037;7.700000
7037;10.100000
7037;-0.400000
7037;6.500000
7037;6.700000
7037;0.700000
7037;0.200000
7037;5.500000
7037;7.600000
7037;11.200000
7037;7.600000
7037;7.400000
7037;7.400000
7037;6.000000
7037;5.200000
7037;3.800000
7037;11.100000
7037;8.600000
7037;7.900000
7037;9.200000
7037;5.000000
7072;11.400000
7072;2.500000
7072;7.000000
7072;0.400000
7072;7.700000
7072;8.000000
7072;10.500000
7072;5.400000
7072;-2.900000
7072;7.100000
7072;-0.200000
7072;7.600000
7072;8.700000
7072;9.000000
7072;7.900000
7072;7.000000
7072;7.000000
7072;5.500000
7072;6.900000
7072;7.100000
7072;9.100000
7072;12.700000
7072;7.700000
7072;-0.100000
7072;11.500000
7072;7.500000
7072;11.300000
7072;7.200000
7072;6.000000
7072;7.100000
7072;10.300000
7072;3.600000
7072;7.600000
7072;9.100000
7072;8.600000
7072;0.200000
7072;1.200000
7072;11.500000
7072;7.700000
7072;-0.600000
7072;4.900000
7072;4.800000
7072;6.800000
7072;8.900000
7072;2.200000
7072;8.000000
7072;7.900000
7072;-2.500000
7072;-1.900000
7072;1.400000
7072;7.600000
7072;7.400000
7072;1.700000
7072;5.000000
7072;7.800000
7072;6.500000
7072;9.300000
7072;11.100000
7072;12.500000
7072;3.500000
7072;3.100000
7072;-1.800000
7072;3.400000
7072;6.500000
7072;10.100000
7072;10.200000
7072;9.200000
7072;9.200000
7072;0.800000
7072;0.900000
7072;0.500000
7072;10.800000
7072;9.800000
7072;8.000000
7072;0.300000
7072;12.000000
7072;-0.500000
7072;1.800000
7072;4.300000
7072;11.800000
7072;8.100000
7072;4.300000
7072;5.100000
7072;4.200000
7072;2.800000
7072;9.400000
7072;7.200000
7072;11.400000
7072;8.100000
7072;11.600000
7072;6.200000
7072;11.000000
7072;11.200000
7072;-1.400000
7072;2.900000
7072;12.200000
7072;11.600000
7072;6.600000
7072;9.000000
7072;12.600000
7072;10.900000
7072;7.400000
7072;1.500000
7072;6.800000
7072;9.100000
7072;0.200000
7072;9.700000
7072;11.000000
7072;7.700000
7072;0.400000
7072;8.100000
7072;8.000000
7072;3.800000
7072;11.100000
7072;7.100000
7072;7.600000
7072;2.000000
7072;0.800000
7072;9.900000
7072;10.100000
7110;11.600000
7110;10.400000
7110;11.400000
7110;9.600000
7110;3.800000
7110;10.300000
7110;7.000000
7110;9.800000
7110;6.500000
7110;11.000000
7110;10.100000
7110;4.900000
7110;9.800000
7110;8.000000
7110;7.200000
7110;8.700000
7110;1.600000
7110;9.200000
7110;9.900000
7110;7.200000
7110;11.500000
7110;7.200000
7110;10.600000
7110;10.400000
7110;6.000000
7110;11.900000
7110;11.900000
7110;11.600000
7110;10.600000
7110;2.500000
7110;7.500000
7110;11.500000
7110;11.200000
7110;7.900000
7110;8.500000
7110;11.900000
7110;8.000000
7110;12.500000
7110;9.400000
7110;10.300000
7110;11.500000
7110;6.700000
7110;10.200000
7110;11.800000
7110;8.900000
7110;8.100000
7110;7.500000
7110;5.200000
7110;6.000000
7110;12.000000
7110;11.800000
7110;10.100000
7110;10.400000
7110;11.300000
7110;10.500000
7110;6.700000
7110;7.200000
7110;8.900000
7110;7.800000
