ID OMM station;Date;Pression station
7020;2020-01-03T07:00:00+01:00;101690
7020;2020-01-04T07:00:00+01:00;103520
7020;2020-01-05T07:00:00+01:00;103500
7020;2020-01-06T07:00:00+01:00;102460
7020;2020-01-07T07:00:00+01:00;102500
7020;2020-01-08T07:00:00+01:00;102220
7020;2020-01-09T07:00:00+01:00;101040
7020;2020-01-10T07:00:00+01:00;102080
7020;2020-01-11T07:00:00+01:00;102800
7020;2020-01-12T07:00:00+01:00;101900
7020;2020-01-13T07:00:00+01:00;101530
7020;2020-01-14T07:00:00+01:00;99960
7020;2020-01-15T07:00:00+01:00;100060
7020;2020-01-01T10:00:00+01:00;102750
7020;2020-01-02T10:00:00+01:00;102250
7020;2020-01-03T10:00:00+01:00;101920
7020;2020-01-04T10:00:00+01:00;103600
7020;2020-01-05T10:00:00+01:00;103460
7020;2020-01-06T10:00:00+01:00;102210
7020;2020-01-07T10:00:00+01:00;102500
7020;2020-01-08T10:00:00+01:00;102340
7020;2020-01-09T10:00:00+01:00;100880
7020;2020-01-10T10:00:00+01:00;102420
7020;2020-01-11T10:00:00+01:00;102760
7020;2020-01-12T10:00:00+01:00;102020
7020;2020-01-13T10:00:00+01:00;101280
7020;2020-01-14T10:00:00+01:00;99890
7020;2020-01-15T10:00:00+01:00;100450
7020;2020-01-01T13:00:00+01:00;102770
7020;2020-01-02T13:00:00+01:00;102090
7020;2020-01-03T13:00:00+01:00;102290
7020;2020-01-04T13:00:00+01:00;103600
7020;2020-01-05T13:00:00+01:00;103410
7020;2020-01-06T13:00:00+01:00;102040
7020;2020-01-07T13:00:00+01:00;102390
7020;2020-01-08T13:00:00+01:00;102330
7020;2020-01-09T13:00:00+01:00;100550
7020;2020-01-10T13:00:00+01:00;102680
7020;2020-01-11T13:00:00+01:00;102660
7020;2020-01-12T13:00:00+01:00;102160
7020;2020-01-13T13:00:00+01:00;100820
7020;2020-01-14T13:00:00+01:00;99680
7020;2020-01-15T13:00:00+01:00;100910
7020;2020-01-01T16:00:00+01:00;102670
7020;2020-01-02T16:00:00+01:00;101950
7020;2020-01-03T16:00:00+01:00;102680
7020;2020-01-04T16:00:00+01:00;103550
7020;2020-01-05T16:00:00+01:00;103290
7020;2020-01-06T16:00:00+01:00;101930
7020;2020-01-07T16:00:00+01:00;102220
7020;2020-01-08T16:00:00+01:00;102250
7020;2020-01-09T16:00:00+01:00;100470
7020;2020-01-10T16:00:00+01:00;102850
7020;2020-01-11T16:00:00+01:00;102500
7020;2020-01-12T16:00:00+01:00;102180
7020;2020-01-13T16:00:00+01:00;100290
7020;2020-01-14T16:00:00+01:00;99690
7020;2020-01-15T16:00:00+01:00;101210
7020;2020-01-01T19:00:00+01:00;102700
7020;2020-01-02T19:00:00+01:00;101810
7020;2020-01-03T19:00:00+01:00;103030
7020;2020-01-04T19:00:00+01:00;103620
7020;2020-01-05T19:00:00+01:00;103210
7020;2020-01-06T19:00:00+01:00;102050
7020;2020-01-07T19:00:00+01:00;102200
7020;2020-01-08T19:00:00+01:00;102090
7020;2020-01-09T19:00:00+01:00;100470
7020;2020-01-10T19:00:00+01:00;102940
7020;2020-01-11T19:00:00+01:00;102460
7020;2020-01-12T19:00:00+01:00;102230
7020;2020-01-13T19:00:00+01:00;100030
7020;2020-01-14T19:00:00+01:00;99790
7020;2020-01-15T19:00:00+01:00;101590
7020;2020-01-01T22:00:00+01:00;102660
7020;2020-01-02T22:00:00+01:00;101710
7020;2020-01-03T22:00:00+01:00;103250
7020;2020-01-04T22:00:00+01:00;103620
7020;2020-01-05T22:00:00+01:00;103080
7020;2020-01-06T22:00:00+01:00;102290
7020;2020-01-07T22:00:00+01:00;102180
7020;2020-01-08T22:00:00+01:00;101780
7020;2020-01-09T22:00:00+01:00;100580
7020;2020-01-10T22:00:00+01:00;103040
7020;2020-01-11T22:00:00+01:00;102300
7020;2020-01-12T22:00:00+01:00;102180
7020;2020-01-13T22:00:00+01:00;99820
7020;2020-01-14T22:00:00+01:00;99900
7020;2020-01-15T22:00:00+01:00;101790
7027;2020-01-01T01:00:00+01:00;102230
7027;2020-01-02T01:00:00+01:00;101930
7027;2020-01-03T01:00:00+01:00;101190
7027;2020-01-04T01:00:00+01:00;102650
7027;2020-01-05T01:00:00+01:00;102940
7027;2020-01-06T01:00:00+01:00;102310
7027;2020-01-07T01:00:00+01:00;101820
7027;2020-01-08T01:00:00+01:00;101650
7027;2020-01-09T01:00:00+01:00;101090
7027;2020-01-10T01:00:00+01:00;100050
7027;2020-01-11T01:00:00+01:00;102530
7027;2020-01-12T01:00:00+01:00;101710
7027;2020-01-13T01:00:00+01:00;101580
7027;2020-01-14T01:00:00+01:00;99510
7027;2020-01-15T01:00:00+01:00;99770
7027;2020-01-01T04:00:00+01:00;102110
7027;2020-01-02T04:00:00+01:00;101850
7027;2020-01-03T04:00:00+01:00;101060
7027;2020-01-04T04:00:00+01:00;102740
7027;2020-01-05T04:00:00+01:00;102930
7027;2020-01-06T04:00:00+01:00;102090
7027;2020-01-07T04:00:00+01:00;101980
7027;2020-01-08T04:00:00+01:00;101670
7027;2020-01-09T04:00:00+01:00;100860
7027;2020-01-10T04:00:00+01:00;100670
