ID OMM station;Pression station
7168;101520
7181;98840
7181;98560
7181;97810
7181;99010
7181;98970
7181;98730
7181;98790
7181;98640
7181;97390
7181;97580
7181;99010
7181;98120
7181;97320
7181;98380
7181;98800
7181;98920
7181;99370
7181;98830
7181;97300
7181;99210
7181;99290
7181;98820
7181;98470
7181;98960
7181;97400
7181;99080
7181;99050
7181;98480
7181;97610
7181;97820
7181;99140
7181;99200
7181;98920
7181;98770
7181;99090
7181;97550
7181;97680
7181;98720
7181;97560
7181;98730
7181;98740
7181;98660
7181;98410
7181;99360
7181;98440
7181;98330
7181;99120
7181;99460
7181;98430
7181;98680
7181;98030
7181;97570
7181;98770
7181;98540
7181;99030
7181;98410
7181;97610
7181;98610
7181;98990
7181;98710
7181;98580
7181;98380
7181;98570
7181;98920
7181;98150
7181;99250
7181;99290
7181;98760
7181;98500
7181;98320
7181;99450
7181;97460
7181;97620
7181;98020
7181;98040
7181;98450
7181;97510
7181;98840
7181;98680
7181;99060
7181;98990
7181;98930
7181;98490
7181;97440
7181;97690
7181;97510
7181;99230
7181;97770
7181;99500
7181;99280
7181;98550
7181;98730
7181;98730
7181;98800
7181;98250
7181;97420
7181;98960
7181;98670
7181;99100
7181;99020
7181;97630
7181;98690
7181;97750
7181;99030
7181;99300
7181;99420
7181;99460
7181;98040
7181;99120
7181;99450
7181;98660
7181;98580
7181;98600
7181;97570
7181;98310
7181;98860
7181;99270
7181;97510
7181;98250
7181;98750
7190;101210
7190;101570
7190;101360
7190;101810
7190;101110
7190;101050
7190;101530
7190;101040
7190;101030
7190;100360
7190;100370
7190;100290
7190;101550
7190;101540
7190;100980
7190;100570
7190;101290
7190;101540
7190;101450
7190;101320
7190;101140
7190;100050
7190;101470
7190;100150
7190;101330
7190;100070
7190;101400
7190;100560
7190;100700
7190;101010
7190;101340
7190;101540
7190;101370
7190;100820
7190;100870
7190;101040
7190;100370
7190;101240
7190;100940
7190;101310
7190;101400
7190;100180
7190;99850
7190;101050
7190;99810
7190;101340
7190;101600
7190;99970
7190;99860
7190;101880
7190;101270
7190;101200
7190;100890
7190;101780
7190;101690
7190;100530
7190;100790
7190;101610
7190;101490
7190;101300
7190;99800
7190;101080
7190;99960
7190;100140
7190;101140
7190;101020
7190;100550
7190;99700
7190;100020
7190;100900
7190;101630
7190;101170
7190;101250
7190;101520
7190;101850
7190;101030
7190;100860
7190;101030
7190;100090
7190;101030
7190;101180
7190;101460
7190;101320
7190;100760
7190;100630
7190;99850
7190;99770
7190;99950
7190;101790
7190;100730
7190;101380
7190;101230
7190;100960
7190;100820
7190;100700
7190;101480
7190;100650
7190;99910
7190;100200
7190;101150
7190;100030
7190;101240
7190;100100
7190;101060
7190;101450
7190;100860
7190;101750
7190;99900
7190;99970
7190;101430
7190;100830
7190;100970
7190;101510
7190;100940
7190;101170
7190;101810
7190;100970
7190;99870
7190;101600
7190;99750
7207;102600
7207;100010
7207;102400
7207;103220
7207;101850
7207;101390
7207;102060
7207;101680
7207;101190
7207;100350
7207;102920
7207;103450
7207;102180
7207;101620
7207;102660
7207;102210
7207;102140
7207;101890
7207;102250
7207;102440
7207;100200
7207;102720
7207;101580
7207;101610
7207;100750
7207;102300
7207;102210
7207;100130
7207;102760
7207;102360
7207;101840
7207;102090
7207;100020
7207;101160
7207;102430
7207;102780
7207;102280
7207;103110
7207;102830
7207;101760
7207;101740
7207;103330
7207;102340
7207;102290
7207;101530
7207;102430
7207;101970
7207;102300
7207;102160
7207;100110
7207;101790
7207;102340
7207;101220
7207;100940
7207;102370
7207;102420
7207;100130
7207;102080
7207;102230
7207;101390
7207;102420
7207;103430
7207;103240
7207;102430
7207;103200
7207;102110
7207;103310
7207;103350
7207;102330
7207;100220
7207;100190
7207;100520
7207;100090
7207;100380
7207;102280
7207;102300
7207;102100
7207;100480
7207;102870
7207;100000
7207;102100
7207;102120
7207;101940
7207;102730
7207;102290
7207;102240
7207;102380
7207;100560
7207;101090
7207;102460
7207;102230
7207;103020
7207;102880
7207;101990
7207;100920
7207;100230
7207;102120
7207;102230
7207;102730
7207;102620
7207;100870
7207;102250
7207;102300
7207;102190
7207;100110
7207;100130
7207;102300
7207;103370
7207;103170
7207;103440
7207;101990
7207;101900
7207;102390
7207;102060
7207;103390
7207;102530
7207;102150
7207;102200
7207;102050
7207;101970
7222;102620
7222;102350
7222;102220
7222;102460
7222;103110
7222;102400
7222;102530
7222;100950
7222;102650
7222;101780
7222;102500
7222;102800
7222;103540
7222;101550
7222;103130
7222;102260
7222;102610
7222;102610
7222;100520
7222;102320
7222;102130
7222;102190
7222;101090
7222;102000
7222;100730
7222;102430
7222;103270
7222;102390
7222;102590
7222;103030
7222;103560
7222;102550
7222;100650
7222;102740
7222;101020
7222;100710
7222;100750
7222;100840
7222;102770
7222;103090
7222;102580
7222;102090
7222;102900
7222;103560
7222;103490
7222;102330
7222;101980
7222;103210
7222;103550
7222;103050
7222;102300
7222;101390
7222;102510
7222;102360
7222;100680
7222;102420
7222;103050
7222;102380
7222;101110
7222;102310
7222;103430
7222;102160
7222;102000
7222;102450
7222;101310
7222;100770
7222;102450
7222;100750
7222;101790
7222;102660
7222;102670
7222;100630
7222;103320
7222;102280
7222;102370
7222;102700
7222;102570
7222;101590
7222;103070
7222;102940
7222;102540
7222;102630
7222;102430
7222;100620
7222;102430
7222;102450
7222;100580
7222;102650
7222;100830
7222;103030
7222;102520
7222;102560
7222;102530
7222;102210
7222;103580
7222;102410
7222;101680
7222;100720
7222;101040
7222;103460
7222;102510
7222;102560
7222;100530
7222;102940
7222;102760
7222;101570
7222;102560
7222;100700
7222;101420
7222;103410
7222;103570
7222;102340
7222;102550
7222;102480
7222;102480
7222;102560
7222;102500
7222;102150
7222;102060
7222;101950
7240;100700
7240;101830
7240;99950
7240;101570
7240;101390
7240;100540
7240;101060
7240;101090
7240;101470
7240;100900
7240;99940
7240;101510
7240;101790
7240;102360
7240;101560
7240;101230
7240;101420
7240;101610
7240;101240
7240;101730
7240;101570
7240;102080
7240;101910
7240;101230
7240;99950
7240;101480
7240;100740
7240;101180
7240;102260
7240;102420
7240;101080
7240;102110
7240;101650
7240;101350
7240;101360
7240;101540
7240;101260
7240;101500
7240;101410
7240;101460
7240;100000
7240;101000
7240;101570
7240;101540
7240;101250
7240;101450
7240;101710
7240;99860
7240;100110
