ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
7591;2020-01-13T13:00:00+01:00;0;180;0.800000;41;92190;0;0;44.565666,6.502333;6.300000;0;0;871;0
7591;2020-01-15T01:00:00+01:00;0;20;0.700000;71;92440;0;0;44.565666,6.502333;-1.400000;0;0;871;0
7591;2020-01-14T19:00:00+01:00;0;0;0.000000;66;92270;0;0;44.565666,6.502333;1.600000;0;0;871;0
7591;2020-01-13T16:00:00+01:00;0;200;1.800000;39;92040;0;0;44.565666,6.502333;7.500000;0;0;871;0
7591;2020-01-10T04:00:00+01:00;0;50;1.700000;76;92240;0;0;44.565666,6.502333;-0.900000;0;0;871;0
7591;2020-01-10T19:00:00+01:00;0;350;1.100000;64;92300;0;0;44.565666,6.502333;1.700000;0;0;871;0
7591;2020-01-08T10:00:00+01:00;0;20;4.100000;41;92880;0;0;44.565666,6.502333;4.500000;0;0;871;0
7591;2020-01-08T01:00:00+01:00;0;350;1.500000;75;92530;0;0;44.565666,6.502333;-1.400000;0;0;871;0
7591;2020-01-02T01:00:00+01:00;0;30;4.000000;53;92860;0;0;44.565666,6.502333;3.200000;0;0;871;0
7591;2020-01-04T16:00:00+01:00;0;160;1.100000;47;92380;0;0;44.565666,6.502333;8.600000;0;0;871;0
7591;2020-01-01T10:00:00+01:00;0;10;7.300000;41;92910;0;0;44.565666,6.502333;6.500000;0;0;871;0
7591;2020-01-06T16:00:00+01:00;0;200;1.300000;36;92570;0;0;44.565666,6.502333;9.800000;0;0;871;0
7591;2020-01-12T16:00:00+01:00;0;180;0.800000;28;92430;0;0;44.565666,6.502333;10.100000;0;0;871;0
7591;2020-01-15T19:00:00+01:00;0;330;1.700000;76;92580;0;0;44.565666,6.502333;3.600000;0;0;871;0
7591;2020-01-05T04:00:00+01:00;0;340;0.600000;85;92500;0;0;44.565666,6.502333;-2.100000;0;0;871;0
7591;2020-01-07T13:00:00+01:00;0;180;0.800000;57;92330;0;0;44.565666,6.502333;3.600000;0;0;871;0
7591;2020-01-04T22:00:00+01:00;0;0;0.000000;77;92520;0;0;44.565666,6.502333;-0.100000;0;0;871;0
7591;2020-01-02T13:00:00+01:00;0;150;1.500000;37;92820;0;0;44.565666,6.502333;9.400000;0;0;871;0
7591;2020-01-02T10:00:00+01:00;0;40;4.300000;54;92960;0;0;44.565666,6.502333;2.800000;0;0;871;0
7591;2020-01-14T22:00:00+01:00;0;40;3.400000;68;92370;0;0;44.565666,6.502333;0.300000;0;0;871;0
7591;2020-01-12T10:00:00+01:00;0;50;3.800000;50;92800;0;0;44.565666,6.502333;-0.400000;0;0;871;0
7591;2020-01-11T16:00:00+01:00;0;170;1.100000;35;92570;0;0;44.565666,6.502333;8.500000;0;0;871;0
7591;2020-01-10T01:00:00+01:00;0;10;1.700000;69;92270;0;0;44.565666,6.502333;-0.900000;0;0;871;0
7591;2020-01-12T04:00:00+01:00;0;40;3.000000;50;92690;0;0;44.565666,6.502333;-1.200000;0;0;871;0
7591;2020-01-12T07:00:00+01:00;0;0;0.000000;57;92720;0;0;44.565666,6.502333;-3.000000;0;0;871;0
7591;2020-01-13T19:00:00+01:00;0;30;0.700000;61;92110;0;0;44.565666,6.502333;1.400000;0;0;871;0
7591;2020-01-13T10:00:00+01:00;0;70;2.100000;65;92290;0;0;44.565666,6.502333;-0.700000;0;0;871;0
7591;2020-01-05T07:00:00+01:00;0;0;0.000000;88;92470;0;0;44.565666,6.502333;-2.400000;0;0;871;0
7591;2020-01-06T19:00:00+01:00;0;0;0.000000;57;92620;0;0;44.565666,6.502333;3.300000;0;0;871;0
7591;2020-01-03T16:00:00+01:00;0;200;1.500000;46;92480;0;0;44.565666,6.502333;7.100000;0;0;871;0
7591;2020-01-11T10:00:00+01:00;0;210;1.400000;71;92780;0;0;44.565666,6.502333;0.800000;0;0;871;0
7471;2020-01-10T07:00:00+01:00;0;200;1.300000;81;92500;0;0;45.074501,3.764000;5.400000;0;0;833;0
7471;2020-01-02T01:00:00+01:00;0;200;1.600000;93;93220;0;0;45.074501,3.764000;-3.300000;0;0;833;0
7471;2020-01-06T07:00:00+01:00;0;250;0.900000;95;93100;0;0;45.074501,3.764000;-5.100000;0;0;833;0
7471;2020-01-07T19:00:00+01:00;0;0;0.000000;87;93270;0;0;45.074501,3.764000;6.600000;0;0;833;0
